year,flat_type,average_household_income
2000,1 ROOM,1762
2000,2 ROOM,1762
2000,3 ROOM,3369
2000,4 ROOM,4252
2000,5 ROOM,6279
2000,APARTMENT,11431
2000,CONDOMINIUM,11431
2000,EXECUTIVE,6279
2000,LANDED,14398
2000,MULTI GENERATION,6279
2001,1 ROOM,1521
2001,2 ROOM,1521
2001,3 ROOM,3432
2001,4 ROOM,4359
2001,5 ROOM,6493
2001,APARTMENT,12280
2001,CONDOMINIUM,12280
2001,EXECUTIVE,6493
2001,LANDED,14113
2001,MULTI GENERATION,6493
2002,1 ROOM,1552
2002,2 ROOM,1552
2002,3 ROOM,3133
2002,4 ROOM,4142
2002,5 ROOM,6348
2002,APARTMENT,11232
2002,CONDOMINIUM,11232
2002,EXECUTIVE,6348
2002,LANDED,13621
2002,MULTI GENERATION,6348
2003,1 ROOM,1422
2003,2 ROOM,1422
2003,3 ROOM,3159
2003,4 ROOM,4104
2003,5 ROOM,6198
2003,APARTMENT,11130
2003,CONDOMINIUM,11130
2003,EXECUTIVE,6198
2003,LANDED,13638
2003,MULTI GENERATION,6198
2004,1 ROOM,1496
2004,2 ROOM,1496
2004,3 ROOM,3140
2004,4 ROOM,4147
2004,5 ROOM,6123
2004,APARTMENT,11348
2004,CONDOMINIUM,11348
2004,EXECUTIVE,6123
2004,LANDED,15000
2004,MULTI GENERATION,6123
2005,1 ROOM,1538
2005,2 ROOM,1538
2005,3 ROOM,3302
2005,4 ROOM,4404
2005,5 ROOM,6624
2005,APARTMENT,11918
2005,CONDOMINIUM,11918
2005,EXECUTIVE,6624
2005,LANDED,14791
2005,MULTI GENERATION,6624
2006,1 ROOM,1521
2006,2 ROOM,1521
2006,3 ROOM,3304
2006,4 ROOM,4520
2006,5 ROOM,6741
2006,APARTMENT,12302
2006,CONDOMINIUM,12302
2006,EXECUTIVE,6741
2006,LANDED,15972
2006,MULTI GENERATION,6741
2007,1 ROOM,1426
2007,2 ROOM,1426
2007,3 ROOM,3595
2007,4 ROOM,4905
2007,5 ROOM,7255
2007,APARTMENT,13746
2007,CONDOMINIUM,13746
2007,EXECUTIVE,7255
2007,LANDED,18106
