LATITUDE,LONGITUDE,address,town,flat_type,floor_area_sqm,remaining_lease,bus_within_0.5,cbd_distance,hawker_distance,mall_within_2.0,mrtlrt_distance,park_distance,school_within_2.0,supermarket_within_0.5,resale_price,region
1.27038,103.82324,43 TELOK BLANGAH RISE,BUKIT MERAH,3 ROOM,59.0,58,12.0,3.520932,0.286806,1.0,0.579399,0.337349,7.0,1.0,333821.76,Central
1.27092,103.82269,42 TELOK BLANGAH RISE,BUKIT MERAH,3 ROOM,59.0,58,13.0,3.551624,0.20856,1.0,0.619325,0.281634,8.0,1.0,333961.2,Central
1.27092,103.82269,42 TELOK BLANGAH RISE,BUKIT MERAH,5 ROOM,141.0,53,13.0,3.551624,0.20856,1.0,0.619325,0.281634,8.0,1.0,897145.98,Central
1.27141,103.81089,44 TELOK BLANGAH DR,BUKIT MERAH,3 ROOM,65.0,58,12.0,4.764171,0.37296,2.0,0.157097,0.764593,6.0,1.0,362321.19,Central
1.27146,103.82568,101 BT PURMEI RD,BUKIT MERAH,3 ROOM,69.0,65,16.0,3.223517,0.420426,2.0,0.814151,0.620641,8.0,1.0,390059.60250000004,Central
1.27146,103.82568,101 BT PURMEI RD,BUKIT MERAH,4 ROOM,93.0,65,16.0,3.223517,0.420426,2.0,0.814151,0.620641,8.0,1.0,569259.6,Central
1.27169,103.80985,46 TELOK BLANGAH DR,BUKIT MERAH,3 ROOM,65.0,55,13.0,4.865606,0.261997,3.0,0.123246,0.7256,5.0,1.0,345093.24000000005,Central
1.27175,103.82251,39 TELOK BLANGAH RISE,BUKIT MERAH,5 ROOM,117.0,58,11.0,3.533393,0.115634,1.0,0.705393,0.295709,9.0,1.0,632710.8300000001,Central
1.27176,103.80956,45 TELOK BLANGAH DR,BUKIT MERAH,2 ROOM,45.0,58,13.0,4.894753,0.233231,3.0,0.131481,0.699434,5.0,1.0,255820.719,Central
1.27191,103.82667,102 BT PURMEI RD,BUKIT MERAH,3 ROOM,75.0,66,16.0,3.103031,0.514708,3.0,0.920031,0.738421,8.0,1.0,433716.91500000004,Central
1.27191,103.82667,102 BT PURMEI RD,BUKIT MERAH,4 ROOM,106.0,64,16.0,3.103031,0.514708,3.0,0.920031,0.738421,8.0,1.0,594134.2270000001,Central
1.27204,103.8101,47 TELOK BLANGAH DR,BUKIT MERAH,3 ROOM,65.0,58,13.0,4.828588,0.261123,3.0,0.16653,0.75364,5.0,1.0,390724.74199999997,Central
1.27209,103.8255,103 BT PURMEI RD,BUKIT MERAH,3 ROOM,67.0,64,14.0,3.213462,0.382419,2.0,0.860123,0.617133,8.0,1.0,394056.74500000005,Central
1.27209,103.8255,103 BT PURMEI RD,BUKIT MERAH,4 ROOM,93.0,64,14.0,3.213462,0.382419,2.0,0.860123,0.617133,8.0,1.0,493861.3,Central
1.2721,103.82325,40 TELOK BLANGAH RISE,BUKIT MERAH,4 ROOM,82.0,58,15.0,3.442732,0.142874,1.0,0.761095,0.386263,9.0,1.0,434056.101,Central
1.2722,103.81106,49 TELOK BLANGAH DR,BUKIT MERAH,5 ROOM,123.0,58,13.0,4.720682,0.351473,3.0,0.231742,0.736809,6.0,1.0,715962.255,Central
1.27233,103.82221,38 TELOK BLANGAH RISE,BUKIT MERAH,3 ROOM,60.0,57,13.0,3.53986,0.043647,1.0,0.764916,0.307919,8.0,1.0,285740.52,Central
1.27235,103.81055,48 TELOK BLANGAH DR,BUKIT MERAH,5 ROOM,123.0,58,15.0,4.770481,0.293013,3.0,0.215191,0.718549,6.0,1.0,771294.2015760001,Central
