year,town_classification,flat_type,resale_price,adjusted_price,price_per_sqm,adjusted_price_per_sqm
1990,Mature,1 ROOM,7500.0,13405.5,258.06451612903226,461.2645161290323
1990,Mature,2 ROOM,18900.0,33781.86,414.6341463414634,741.1170731707317
1990,Mature,3 ROOM,45000.0,80433.0,647.7272727272727,1157.7477272727274
1990,Mature,4 ROOM,82000.0,146566.8,876.2395679921453,1566.1906038291604
1990,Mature,5 ROOM,138000.0,246661.2,1124.7950819672133,2010.4587295081965
1990,Mature,EXECUTIVE,203500.0,363735.9,1344.3708609271523,2402.928476821192
1990,Non-Mature,2 ROOM,16800.0,30028.32,294.7368421052632,526.8126315789474
1990,Non-Mature,3 ROOM,40000.0,71496.0,570.2702702702703,1019.3010810810812
1990,Non-Mature,4 ROOM,72000.0,128692.8,770.0320512820513,1376.3552884615383
1990,Non-Mature,5 ROOM,121750.0,217615.95,947.3880597014926,1693.3614179104477
1990,Non-Mature,EXECUTIVE,179000.0,319944.6,1191.2645853043205,2129.2663197729416
1991,Mature,1 ROOM,8000.0,13978.4,275.86206896551727,482.0137931034483
1991,Mature,2 ROOM,19000.0,33198.7,419.6078431372549,733.1807843137256
1991,Mature,3 ROOM,46000.0,80375.79999999999,676.9230769230769,1182.7876923076922
1991,Mature,4 ROOM,84000.0,146773.2,909.0909090909092,1588.4545454545455
1991,Mature,5 ROOM,146250.0,255542.625,1196.5811965811963,2090.7863247863247
1991,Mature,EXECUTIVE,204000.0,356449.19999999995,1385.1351351351352,2420.2466216216217
1991,Non-Mature,3 ROOM,42000.0,73386.6,617.6470588235294,1079.214705882353
1991,Non-Mature,4 ROOM,71500.0,124931.95,766.6666666666666,1339.5966666666666
1991,Non-Mature,5 ROOM,123000.0,214917.9,954.8872180451128,1668.4744360902257
1991,Non-Mature,EXECUTIVE,177250.0,309708.925,1180.645161290323,2062.9412903225807
1991,Non-Mature,MULTI GENERATION,165000.0,288304.5,1045.4692295267323,1826.7483847520593
1992,Mature,1 ROOM,10000.0,17035.0,322.5806451612903,549.516129032258
1992,Mature,2 ROOM,20000.0,34070.0,461.4814814814815,786.1337037037038
1992,Mature,3 ROOM,47000.0,80064.5,701.4925373134329,1194.9925373134329
1992,Mature,4 ROOM,91000.0,155018.5,989.7692869819397,1686.0719803737343
1992,Mature,5 ROOM,165000.0,281077.5,1344.5378151260504,2290.4201680672268
1992,Mature,EXECUTIVE,230000.0,391805.0,1548.6204900636696,2638.0750048234613
1992,Mature,MULTI GENERATION,289000.0,492311.5,1746.2212486308872,2974.6878970427165
1992,Non-Mature,3 ROOM,42560.0,72500.95999999999,626.8656716417911,1067.865671641791
1992,Non-Mature,4 ROOM,80000.0,136280.0,817.7447552447552,1393.0281905594406
