year,town_classification,flat_type,resale_price,adjusted_price,price_per_sqm,adjusted_price_per_sqm
1990,Mature,1 ROOM,7500,13405.5,258.0645161,461.2645161
1990,Mature,2 ROOM,18900,33781.86,414.6341463,741.1170732
1990,Mature,3 ROOM,45000,80433,647.7272727,1157.747727
1990,Mature,4 ROOM,82000,146566.8,876.239568,1566.190604
1990,Mature,5 ROOM,138000,246661.2,1124.795082,2010.45873
1990,Mature,EXECUTIVE,203500,363735.9,1344.370861,2402.928477
1990,Non-Mature,2 ROOM,16800,30028.32,294.7368421,526.8126316
1990,Non-Mature,3 ROOM,40000,71496,570.2702703,1019.301081
1990,Non-Mature,4 ROOM,72000,128692.8,770.0320513,1376.355288
1990,Non-Mature,5 ROOM,121750,217615.95,947.3880597,1693.361418
1990,Non-Mature,EXECUTIVE,179000,319944.6,1191.264585,2129.26632
1991,Mature,1 ROOM,8000,13978.4,275.862069,482.0137931
1991,Mature,2 ROOM,19000,33198.7,419.6078431,733.1807843
1991,Mature,3 ROOM,46000,80375.8,676.9230769,1182.787692
1991,Mature,4 ROOM,84000,146773.2,909.0909091,1588.454545
1991,Mature,5 ROOM,146250,255542.625,1196.581197,2090.786325
1991,Mature,EXECUTIVE,204000,356449.2,1385.135135,2420.246622
1991,Non-Mature,3 ROOM,42000,73386.6,617.6470588,1079.214706
1991,Non-Mature,4 ROOM,71500,124931.95,766.6666667,1339.596667
1991,Non-Mature,5 ROOM,123000,214917.9,954.887218,1668.474436
1991,Non-Mature,EXECUTIVE,177250,309708.925,1180.645161,2062.94129
1991,Non-Mature,MULTI GENERATION,165000,288304.5,1045.46923,1826.748385
1992,Mature,1 ROOM,10000,17035,322.5806452,549.516129
1992,Mature,2 ROOM,20000,34070,461.4814815,786.1337037
1992,Mature,3 ROOM,47000,80064.5,701.4925373,1194.992537
1992,Mature,4 ROOM,91000,155018.5,989.769287,1686.07198
1992,Mature,5 ROOM,165000,281077.5,1344.537815,2290.420168
1992,Mature,EXECUTIVE,230000,391805,1548.62049,2638.075005
1992,Mature,MULTI GENERATION,289000,492311.5,1746.221249,2974.687897
1992,Non-Mature,3 ROOM,42560,72500.96,626.8656716,1067.865672
1992,Non-Mature,4 ROOM,80000,136280,817.7447552,1393.028191
1992,Non-Mature,5 ROOM,138000,235083,1084.615385,1847.642308
