year,resale_price,flat_type
1990,52500.0,HDB
1991,57000.0,HDB
1992,64000.0,HDB
1993,103000.0,HDB
1994,152000.0,HDB
1995,188000.0,HDB
1996,248000.0,HDB
1997,290000.0,HDB
1998,240000.0,HDB
1999,236000.0,HDB
2000,239000.0,HDB
2001,225000.0,HDB
2002,215000.0,HDB
2003,217000.0,HDB
2004,223500.0,HDB
2005,225000.0,HDB
2006,228000.0,HDB
2007,250000.0,HDB
2008,305000.0,HDB
2009,330000.0,HDB
2010,365944.0,HDB
2011,410000.0,HDB
2012,445000.0,HDB
2013,455000.0,HDB
2014,420000.0,HDB
2015,405000.0,HDB
2016,410000.0,HDB
2017,410000.0,HDB
2018,408000.0,HDB
2019,400000.0,HDB
2020,425000.0,HDB
2021,483000.0,HDB
2022,525000.0,HDB
2023,550000.0,HDB
2024,568000.0,HDB
2019,1300000.0,Private
2020,1240000.0,Private
2021,1280000.0,Private
2022,1350000.0,Private
2023,1435000.0,Private
2024,1535000.0,Private
