hdb_lat,hdb_lon,within_0.1,within_0.3,within_0.5,within_1,within_1.5,within_2.0
1.270379512,103.823236,0,0,0,2,2,4
1.270918709,103.8226854,0,0,0,2,3,4
1.271408833,103.8108875,0,1,1,2,4,4
1.271462566,103.8256835,0,0,0,2,2,7
1.271690611,103.8098523,0,1,1,2,4,4
1.271747245,103.8225083,0,0,0,2,3,4
1.271757071,103.8095604,0,1,1,2,3,4
1.271908423,103.8266717,0,0,0,2,2,8
1.272044271,103.810097,0,1,1,2,4,4
1.272085585,103.8254956,0,0,0,2,2,7
1.272099266,103.8232451,0,0,0,2,2,5
1.272201815,103.8110608,0,1,1,2,4,4
1.272332606,103.8222103,0,0,0,2,3,4
1.272346698,103.8105545,0,1,1,2,4,4
1.272397327,103.8208327,0,0,0,2,3,6
1.272398536,103.8256255,0,0,0,2,2,8
1.272483013,103.824703,0,0,0,2,2,7
1.272672565,103.8228757,0,0,0,2,3,5
1.272985283,103.820252,0,0,0,2,3,6
1.27298937,103.8256268,0,0,0,2,3,8
1.273022019,103.8221232,0,0,0,2,3,5
1.27309041,103.8101436,0,1,1,2,2,5
1.273101655,103.8245086,0,0,0,2,3,8
1.273131053,103.8216629,0,0,0,2,3,5
1.273357314,103.8253458,0,0,0,2,3,8
1.273476841,103.8068103,0,0,2,2,2,5
1.273494356,103.8072294,0,0,2,2,2,5
1.273513379,103.8101453,0,0,1,2,2,5
1.273517801,103.822481,0,0,0,2,4,5
1.273566738,103.8340582,0,0,0,1,5,13
1.273597187,103.8119421,0,0,1,1,4,5
1.273638234,103.8364203,0,0,0,3,6,14
1.27368174,103.8065794,0,0,2,2,2,5
1.273804157,103.8270577,0,0,0,0,3,8
1.273835569,103.8398443,0,0,0,5,9,18
1.273849941,103.8112471,0,0,1,2,4,5
1.273883542,103.8390033,0,0,0,5,9,18
1.273901446,103.8394173,0,0,0,5,9,18
1.273919926,103.8402609,0,0,0,5,9,17
1.273929399,103.8253108,0,0,0,0,3,9
1.273947618,103.8208669,0,0,0,2,3,5
1.273953767,103.8088175,0,0,1,2,2,6
1.27396036,103.8121495,0,0,1,1,4,5
1.274031873,103.8366527,0,0,0,3,7,17
1.274062304,103.8104241,0,0,1,2,2,5
1.274132973,103.8096327,0,0,1,2,2,5
1.274143351,103.8224905,0,0,0,2,4,6
1.274236332,103.8217147,0,0,0,1,4,5
1.27425274,103.8124291,0,0,0,1,4,5
1.274298048,103.8114314,0,0,1,2,3,5
1.274383638,103.8087418,0,0,1,2,2,6
1.274397181,103.8272396,0,0,0,0,4,9
1.274426047,103.8396715,0,0,0,5,9,18
1.274427547,103.8348788,0,0,0,3,6,13
1.274469784,103.8258781,0,0,0,0,3,9
1.27447616,103.8400703,0,0,0,5,9,18
1.274506393,103.8105355,0,0,1,2,2,5
1.274633315,103.8125866,0,0,0,1,4,5
