QUERY,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE
THE TRUMPS JALAN KEMBANGAN,THE TRUMPS,1,JALAN KEMBANGAN,THE TRUMPS,1 JALAN KEMBANGAN THE TRUMPS SINGAPORE 419154,419154,36921.9904419836,33587.4406810701,1.32002610262337,103.91348728953
PARC RIVIERA WEST COAST VALE,PARC RIVIERA,101,WEST COAST VALE,PARC RIVIERA,101 WEST COAST VALE PARC RIVIERA SINGAPORE 126753,126753,19024.3082316956,33674.9725421108,1.32081769238494,103.752667309254
D'LEEDON LEEDON HEIGHTS,D'LEEDON,1,LEEDON HEIGHTS,D'LEEDON,1 LEEDON HEIGHTS D'LEEDON SINGAPORE 267939,267939,24547.934373212,33152.1085903347,1.31609021863642,103.802300019532
368 THOMSON THOMSON ROAD,368 THOMSON,368,THOMSON ROAD,368 THOMSON,368 THOMSON ROAD 368 THOMSON SINGAPORE 298127,298127,28963.7693515504,34368.5353911072,1.3270913316471,103.841978573745
ONE LEICESTER LEICESTER ROAD,ONE LEICESTER,1,LEICESTER ROAD,ONE LEICESTER,1 LEICESTER ROAD ONE LEICESTER SINGAPORE 358828,358828,31788.1548196869,34627.2346674874,1.32943069562467,103.867357251861
ORCHARD BEL AIR ORCHARD BOULEVARD,ORCHARD BEL AIR,245,ORCHARD BOULEVARD,ORCHARD BEL AIR,245 ORCHARD BOULEVARD ORCHARD BEL AIR SINGAPORE 248648,248648,27071.2615811359,31629.2464523073,1.30231817080686,103.824973438871
CARIBBEAN AT KEPPEL BAY KEPPEL BAY DRIVE,CARIBBEAN AT KEPPEL BAY,2,KEPPEL BAY DRIVE,CARIBBEAN AT KEPPEL BAY,2 KEPPEL BAY DRIVE CARIBBEAN AT KEPPEL BAY SINGAPORE 098636,098636,26021.7114668665,27775.9428593945,1.26747019767944,103.815542991374
CORALS AT KEPPEL BAY KEPPEL BAY DRIVE,CORALS AT KEPPEL BAY,1,KEPPEL BAY DRIVE,CORALS AT KEPPEL BAY,1 KEPPEL BAY DRIVE CORALS AT KEPPEL BAY SINGAPORE 098012,098012,26123.1077897251,27490.6492547505,1.26489010829928,103.816454088109
THE SIERRA MOUNT SINAI DRIVE,THE SIERRA,80,MOUNT SINAI DRIVE,THE SIERRA,80 MOUNT SINAI DRIVE THE SIERRA SINGAPORE 277125,277125,22102.412318957,33374.9030763898,1.31810471986283,103.78032572661
VA RESIDENCES BOON TECK ROAD,VA RESIDENCES,9,BOON TECK ROAD,VA RESIDENCES,9 BOON TECK ROAD VA RESIDENCES SINGAPORE 329583,329583,29820.8707824666,34328.2166812532,1.32672666436714,103.84968009627
MARGARET VILLE MARGARET DRIVE,MARGARET VILLE,20,MARGARET DRIVE,MARGARET VILLE,20 MARGARET DRIVE MARGARET VILLE SINGAPORE 149312,149312,24604.3263509953,31319.5494068619,1.2995172080842,103.802806930224
D' IXORAS MINBU ROAD,D' IXORAS,23,MINBU ROAD,D' IXORAS,23 MINBU ROAD D' IXORAS SINGAPORE 308172,308172,29749.710873819,34039.2487552594,1.32411334495333,103.849040669227
WATERBANK AT DAKOTA DAKOTA CRESCENT,WATERBANK AT DAKOTA,70,DAKOTA CRESCENT,WATERBANK AT DAKOTA,70 DAKOTA CRESCENT WATERBANK AT DAKOTA SINGAPORE 399941,399941,34095.3144139107,32109.2049620729,1.30665815996221,103.888087858364
BOTANNIA WEST COAST PARK,BOTANNIA,29,WEST COAST PARK,BOTANNIA,29 WEST COAST PARK BOTANNIA SINGAPORE 127647,127647,19120.0706839403,33367.115305787,1.31803357100435,103.753527872969
THE LEGEND BUKIT TIMAH ROAD,THE LEGEND,361,BUKIT TIMAH ROAD,THE LEGEND,361 BUKIT TIMAH ROAD THE LEGEND SINGAPORE 259725,259725,27561.9551458824,33394.3415387478,1.31828107898793,103.829382520419
HORIZON RESIDENCES PASIR PANJANG HILL,HORIZON RESIDENCES,41,PASIR PANJANG HILL,HORIZON RESIDENCES,41 PASIR PANJANG HILL HORIZON RESIDENCES SINGAPORE 118862,118862,22520.4515538961,29402.4276818205,1.28217914161626,103.78408271893
TROPIKA EAST FOO KIM LIN ROAD,TROPIKA EAST,1,FOO KIM LIN ROAD,TROPIKA EAST,1 FOO KIM LIN ROAD TROPIKA EAST SINGAPORE 419684,419684,36184.9835624732,34579.3954835944,1.32899718944322,103.906865168799
GARDENVILLE WALSHE ROAD,GARDENVILLE,10,WALSHE ROAD,GARDENVILLE,10 WALSHE ROAD GARDENVILLE SINGAPORE 257654,257654,27330.5175160049,32750.8683890384,1.31246173086025,103.827302948052
THE SAIL @ MARINA BAY MARINA BOULEVARD,THE SAIL @ MARINA BAY,6,MARINA BOULEVARD,THE SAIL @ MARINA BAY,6 MARINA BOULEVARD THE SAIL @ MARINA BAY SINGAPORE 018985,018985,30152.3828112809,29246.5050088912,1.28076943504219,103.852658562152
EUHABITAT JALAN EUNOS,EUHABITAT,186,JALAN EUNOS,EUHABITAT,186 JALAN EUNOS EUHABITAT SINGAPORE 419537,419537,36156.7583952453,34497.757707024,1.32825889448877,103.906611528497
SPOTTISWOODE SUITES SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,16,SPOTTISWOODE PARK ROAD,SPOTTISWOODE SUITES,16 SPOTTISWOODE PARK ROAD SPOTTISWOODE SUITES SINGAPORE 088661,088661,28465.5867006639,28723.0007681884,1.27603511606189,103.837502046362
THE TRESOR DUCHESS ROAD,THE TRESOR,26,DUCHESS ROAD,THE TRESOR,26 DUCHESS ROAD THE TRESOR SINGAPORE 269029,269029,25060.8786894884,33985.1645598933,1.32362413503101,103.806909004363
HERITAGE VIEW DOVER RISE,HERITAGE VIEW,6,DOVER RISE,HERITAGE VIEW,6 DOVER RISE HERITAGE VIEW SINGAPORE 138678,138678,22495.5534737054,31783.8118785787,1.3037155308885,103.783858583197
KILLINEY 118 KILLINEY ROAD,KILLINEY 118,118,KILLINEY ROAD,KILLINEY 118,118 KILLINEY ROAD KILLINEY 118 SINGAPORE 239555,239555,28566.4137735525,31148.2267773021,1.29796800700412,103.838408057882
REGENCY SUITES KIM TIAN ROAD,REGENCY SUITES,38,KIM TIAN ROAD,REGENCY SUITES,38 KIM TIAN ROAD REGENCY SUITES SINGAPORE 169262,169262,27533.4061112283,29641.454312453,1.28434128785856,103.82912604887
THE PATERSON PATERSON ROAD,THE PATERSON EDGE,26,PATERSON ROAD,THE PATERSON EDGE,26 PATERSON ROAD THE PATERSON EDGE SINGAPORE 238518,238518,27594.5957763074,31659.6176801175,1.30259284877615,103.829675836055
ECHELON ALEXANDRA VIEW,ECHELON,5,ALEXANDRA VIEW,ECHELON,5 ALEXANDRA VIEW ECHELON SINGAPORE 158750,158750,26294.044502493,30373.7634495497,1.29096399148778,103.817989855708
NIN RESIDENCE PHENG GECK AVENUE,NIN RESIDENCE,81,PHENG GECK AVENUE,NIN RESIDENCE,81 PHENG GECK AVENUE NIN RESIDENCE SINGAPORE 348269,348269,32059.6465567052,34999.0754551273,1.33279345626326,103.869796804823
JERVOIS TREASURES JERVOIS ROAD,JERVOIS TREASURES,31,JERVOIS ROAD,JERVOIS TREASURES,31 JERVOIS ROAD JERVOIS TREASURES SINGAPORE 249080,249080,26910.8311276594,30579.024873089,1.29282033122383,103.823531934289
ONE DUSUN RESIDENCES JALAN DUSUN,ONE DUSUN RESIDENCES,1,JALAN DUSUN,ONE DUSUN RESIDENCES,1 JALAN DUSUN ONE DUSUN RESIDENCES SINGAPORE 329363,329363,29152.4788189977,34354.6110894848,1.32696539864482,103.84367423097
LUMIERE MISTRI ROAD,LUMIERE,2,MISTRI ROAD,LUMIERE,2 MISTRI ROAD LUMIERE SINGAPORE 079624,079624,29414.1345509551,28526.9923883434,1.27426245685335,103.846025087372
WOODSVILLE 28 WOODSVILLE CLOSE,WOODSVILLE 28,26,WOODSVILLE CLOSE,WOODSVILLE 28,26 WOODSVILLE CLOSE WOODSVILLE 28 SINGAPORE 357774,357774,31898.8743474251,34694.1654123776,1.33003597946809,103.868352136654
KERRISDALE STURDEE ROAD,KERRISDALE,30,STURDEE ROAD,KERRISDALE,30 STURDEE ROAD KERRISDALE SINGAPORE 207852,207852,30708.5465999004,32823.9673555251,1.3131227003568,103.857656215109
CENTRA SUITES LORONG 25A GEYLANG,CENTRA SUITES,38,LORONG 25A GEYLANG,CENTRA SUITES,38 LORONG 25A GEYLANG CENTRA SUITES SINGAPORE 388242,388242,33561.1334143626,32993.0751556456,1.31465166781856,103.883288149427
76 SHENTON SHENTON WAY,76 SHENTON,76,SHENTON WAY,76 SHENTON,76 SHENTON WAY 76 SHENTON SINGAPORE 079119,079119,29364.6884398069,28438.9366187733,1.2734661134853,103.845580792511
