Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ONEROBEY,"1,588,000","1,194.8","1,329",Mar-24,ROBEY CRESCENT,Resale,Strata,111,"14,306",-,Apartment,1,999 yrs lease commencing from 1875,19,Outside Central Region,01 to 05
THE AZZURO,"2,300,000","1,829.88","1,257",Mar-24,LORONG H TELOK KURAU,Resale,Strata,170,"13,529",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
DAINTREE RESIDENCE,"2,190,000","1,054.87","2,076",Mar-24,TOH TUCK ROAD,Resale,Strata,98,"22,347",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
PEBBLE BAY,"3,620,000","1,894.46","1,911",Mar-24,TANJONG RHU ROAD,Resale,Strata,176,"20,568",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
GRANDE VISTA,"2,100,000","1,668.42","1,259",Mar-24,CACTUS DRIVE,Resale,Strata,155,"13,548",-,Condominium,1,999 yrs lease commencing from 1886,28,Outside Central Region,06 to 10
WATER PLACE,"2,200,000","1,216.33","1,809",Mar-24,TANJONG RHU ROAD,Resale,Strata,113,"19,469",-,Condominium,1,99 yrs lease commencing from 1998,15,Rest of Central Region,11 to 15
MODENA,"1,660,000","1,528.49","1,086",Mar-24,SIMEI STREET 4,Resale,Strata,142,"11,690",-,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,01 to 05
SEASONS PARK,"1,228,888","1,065.64","1,153",Mar-24,YIO CHU KANG ROAD,Resale,Strata,99,"12,413",-,Condominium,1,99 yrs lease commencing from 1995,26,Outside Central Region,01 to 05
JADE RESIDENCES,"1,520,000",871.88,"1,743",Mar-24,LEW LIAN VALE,Resale,Strata,81,"18,765",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THOMSON GROVE,"2,400,000","1,485.43","1,616",Mar-24,YIO CHU KANG ROAD,Resale,Strata,138,"17,391",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
