Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SIMEI GREEN CONDOMINIUM,"995,000",968.76,"1,027",Mar-24,SIMEI STREET 4,Resale,Strata,90,"11,056",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
ESPARINA RESIDENCES,"1,585,000","1,001.05","1,583",Mar-24,COMPASSVALE BOW,Resale,Strata,93,"17,043",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
PARC LIFE,"1,250,000",979.52,"1,276",Mar-24,SEMBAWANG CRESCENT,Resale,Strata,91,"13,736",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
RIVERPARC RESIDENCE,"1,080,000",828.83,"1,303",Mar-24,PUNGGOL DRIVE,Resale,Strata,77,"14,026",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
THE TERRACE,"2,000,000","1,442.38","1,387",Mar-24,EDGEDALE PLAINS,Resale,Strata,134,"14,925",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
PRIVE,"1,130,000",818.06,"1,381",Mar-24,PUNGGOL FIELD,Resale,Strata,76,"14,868",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
THE TERRACE,"1,500,000","1,076.4","1,394",Mar-24,EDGEDALE PLAINS,Resale,Strata,100,"15,000",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
ESPARINA RESIDENCES,"1,353,000",828.83,"1,632",Mar-24,COMPASSVALE BOW,Resale,Strata,77,"17,571",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,11 to 15
THE TERRACE,"1,380,000","1,001.05","1,379",Mar-24,EDGEDALE PLAINS,Resale,Strata,93,"14,839",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,11 to 15
THE VISIONAIRE,"1,575,000","1,140.98","1,380",Mar-24,CANBERRA DRIVE,Resale,Strata,106,"14,858",-,Executive Condominium,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
THE VISIONAIRE,"1,430,000","1,022.58","1,398",Mar-24,CANBERRA DRIVE,Resale,Strata,95,"15,053",-,Executive Condominium,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
WINDERMERE,"1,230,000","1,280.92",960,Mar-24,CHOA CHU KANG STREET 64,Resale,Strata,119,"10,336",-,Executive Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,16 to 20
NORTHWAVE,"950,000",742.72,"1,279",Mar-24,WOODLANDS VIEW,Resale,Strata,69,"13,768",-,Executive Condominium,1,99 yrs lease commencing from 2015,25,Outside Central Region,06 to 10
CITYLIFE@TAMPINES,"1,750,000","1,377.79","1,270",Mar-24,TAMPINES CENTRAL 7,Resale,Strata,128,"13,672",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
THE CRITERION,"1,420,000","1,173.28","1,210",Mar-24,YISHUN STREET 51,Resale,Strata,109,"13,028",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
EASTVALE,"1,158,760","1,097.93","1,055",Mar-24,PASIR RIS DRIVE 3,Resale,Strata,102,"11,360",-,Executive Condominium,1,99 yrs lease commencing from 1996,18,Outside Central Region,06 to 10
LILYDALE,"1,095,000","1,194.8",916,Mar-24,YISHUN AVENUE 6,Resale,Strata,111,"9,865",-,Executive Condominium,1,99 yrs lease commencing from 2000,27,Outside Central Region,06 to 10
PARK GREEN,"1,410,000","1,367.03","1,031",Feb-24,RIVERVALE LINK,Resale,Strata,127,"11,102",-,Executive Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,11 to 15
PARK GREEN,"1,278,888","1,356.26",943,Feb-24,RIVERVALE LINK,Resale,Strata,126,"10,150",-,Executive Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,01 to 05
SOL ACRES,"1,580,000","1,097.93","1,439",Feb-24,CHOA CHU KANG GROVE,Resale,Strata,102,"15,490",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,21 to 25
SOL ACRES,"1,020,000",731.95,"1,394",Feb-24,CHOA CHU KANG GROVE,Resale,Strata,68,"15,000",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,11 to 15
WHITEWATER,"1,240,000","1,194.8","1,038",Feb-24,PASIR RIS STREET 72,Resale,Strata,111,"11,171",-,Executive Condominium,1,99 yrs lease commencing from 2002,18,Outside Central Region,11 to 15
TREASURE CREST,"1,400,000",958,"1,461",Feb-24,ANCHORVALE CRESCENT,Resale,Strata,89,"15,730",-,Executive Condominium,1,99 yrs lease commencing from 2015,19,Outside Central Region,11 to 15
BELLEWATERS,"1,270,000",925.7,"1,372",Feb-24,ANCHORVALE CRESCENT,Resale,Strata,86,"14,767",-,Executive Condominium,1,99 yrs lease commencing from 2013,19,Outside Central Region,01 to 05
PARC LIFE,"1,375,000","1,065.64","1,290",Feb-24,SEMBAWANG CRESCENT,Resale,Strata,99,"13,889",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
NORTHWAVE,"1,700,000","1,463.9","1,161",Feb-24,WOODLANDS VIEW,Resale,Strata,136,"12,500",-,Executive Condominium,1,99 yrs lease commencing from 2015,25,Outside Central Region,01 to 05
NORTHOAKS,"1,025,000","1,173.28",874,Feb-24,WOODLANDS CRESCENT,Resale,Strata,109,"9,404",-,Executive Condominium,1,99 yrs lease commencing from 1997,25,Outside Central Region,01 to 05
SIGNATURE AT YISHUN,"1,720,000","1,302.44","1,321",Feb-24,YISHUN STREET 51,Resale,Strata,121,"14,215",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
RIVERPARC RESIDENCE,"1,670,000","1,237.86","1,349",Feb-24,PUNGGOL DRIVE,Resale,Strata,115,"14,522",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,06 to 10
SIGNATURE AT YISHUN,"1,350,000","1,097.93","1,230",Feb-24,YISHUN STREET 51,Resale,Strata,102,"13,235",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
THE CRITERION,"1,200,000",914.94,"1,312",Feb-24,YISHUN STREET 51,Resale,Strata,85,"14,118",-,Executive Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
