Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"2,822,888","1,763.14","1,601",Mar-24,INGGU ROAD,Resale,Land,163.8,"17,234",-,Terrace House,1,99 yrs lease commencing from 2008,27,Outside Central Region,-
KEW VALE,"2,550,000","1,810.5","1,408",Mar-24,KEW AVENUE,Resale,Land,168.2,"15,161",-,Terrace House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
BRADDELL HEIGHTS ESTATE,"18,800,000","12,593.88","1,493",Mar-24,COTSWOLD CLOSE,Resale,Land,"1,170","16,068",-,Detached House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,700,000","4,501.5","1,266",Mar-24,PAYA LEBAR CRESCENT,Resale,Land,418.2,"13,630",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,800,000","2,577.98","1,862",Mar-24,JALAN ARIF,Resale,Land,239.5,"20,042",-,Semi-Detached House,1,999 yrs lease commencing from 1875,19,Outside Central Region,-
VAUGHAN GARDEN,"3,518,000","1,814.81","1,938",Mar-24,BUKIT ARANG ROAD,Resale,Land,168.6,"20,866",-,Terrace House,1,Freehold,13,Outside Central Region,-
SEA VIEW PARK,"6,800,000","3,230.28","2,105",Mar-24,JALAN SEAVIEW,Resale,Land,300.1,"22,659",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,580,000","2,399.3","1,909",Mar-24,JALAN TARI PAYONG,Resale,Land,222.9,"20,547",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
BEDOK RIA,"4,150,000","2,129.12","1,949",Mar-24,BEDOK RIA CRESCENT,Resale,Land,197.8,"20,981",-,Terrace House,1,Freehold,16,Outside Central Region,-
CAPITOL PARK,"8,100,000","3,787.85","2,138",Mar-24,UNIVERSITY ROAD,Resale,Land,351.9,"23,018",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
