Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
ELEVEN @ HOLLAND,"3,810,000","3,810.46","1,000",Mar-24,HOLLAND LINK,Resale,Strata,354,"10,763",-,Semi-Detached House,1,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05
NAMLY COURT,"4,900,000","2,798.64","1,751",Mar-24,BUKIT TIMAH ROAD,Resale,Strata,260,"18,846",-,Terrace House,1,Freehold,10,Core Central Region,-
ATELIER VILLAS,"2,980,000","3,186.14",935,Mar-24,YIO CHU KANG DRIVE,Resale,Strata,296,"10,068",-,Terrace House,1,Freehold,26,Outside Central Region,-
KEW GATE,"1,850,000","2,249.68",822,Mar-24,LIMAU GARDEN,Resale,Strata,209,"8,852",-,Terrace House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
HILLCREST VILLA,"3,968,000","3,153.85","1,258",Mar-24,HILLCREST ROAD,Resale,Strata,293,"13,543",-,Terrace House,1,99 yrs lease commencing from 2006,11,Core Central Region,-
ELEVEN @ HOLLAND,"4,368,000","4,305.6","1,014",Feb-24,HOLLAND LINK,Resale,Strata,400,"10,920",-,Semi-Detached House,1,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05
BELGRAVIA VILLAS,"3,480,000","3,584.41",971,Feb-24,BELGRAVIA DRIVE,Resale,Strata,333,"10,450",-,Terrace House,1,Freehold,28,Outside Central Region,-
THE SHAUGHNESSY,"2,488,888","3,304.55",753,Feb-24,MILTONIA CLOSE,Resale,Strata,307,"8,107",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
THE WOODS,"2,300,000","4,004.21",574,Feb-24,WESTWOOD AVENUE,Resale,Strata,372,"6,183",-,Terrace House,1,99 yrs lease commencing from 2010,22,Outside Central Region,-
THE TENERIFFE,"3,520,000","3,164.62","1,112",Feb-24,LAUREL WOOD AVENUE,Resale,Strata,294,"11,973",-,Terrace House,1,99 yrs lease commencing from 1996,10,Core Central Region,-
ELEVEN @ HOLLAND,"3,800,000","3,713.58","1,023",Feb-24,HOLLAND LINK,Resale,Strata,345,"11,014",-,Semi-Detached House,1,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05
THE GREENWOOD,"3,530,000","3,013.92","1,171",Feb-24,GREENWOOD AVENUE,Resale,Strata,280,"12,607",-,Terrace House,1,103 yrs lease commencing from 2008,11,Core Central Region,-
RIVERTREES RESIDENCES,"2,100,000","1,528.49","1,374",Feb-24,FERNVALE CLOSE,Resale,Strata,142,"14,789",-,Terrace House,1,99 yrs lease commencing from 2013,28,Outside Central Region,-
BRIGHTON CREST,"3,380,000","2,884.75","1,172",Feb-24,BRIGHTON CRESCENT,Resale,Strata,268,"12,612",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
THE SHAUGHNESSY,"2,300,000","3,304.55",696,Feb-24,MILTONIA CLOSE,Resale,Strata,307,"7,492",-,Terrace House,1,99 yrs lease commencing from 2001,27,Outside Central Region,-
THOMSON GRAND,"3,437,000","5,199.01",661,Feb-24,SIN MING WALK,Resale,Strata,483,"7,116",-,Terrace House,1,99 yrs lease commencing from 2010,20,Rest of Central Region,-
D'MANOR,"2,412,888","2,723.29",886,Feb-24,TANAH MERAH KECHIL AVENUE,Resale,Strata,253,"9,537",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
EUHABITAT,"3,080,000","3,379.9",911,Feb-24,JALAN EUNOS,Resale,Strata,314,"9,809",-,Terrace House,1,99 yrs lease commencing from 2010,14,Outside Central Region,-
HILLSGROVE,"3,770,000","4,542.41",830,Feb-24,HILLSIDE DRIVE,Resale,Strata,422,"8,934",-,Semi-Detached House,1,999 yrs lease commencing from 1878,19,Outside Central Region,-
TRANQUILIA @ KISMIS,"4,380,000","5,597.28",783,Feb-24,ENG KONG ROAD,Resale,Strata,520,"8,423",-,Terrace House,1,Freehold,21,Rest of Central Region,-
WEST SHORE RESIDENCES,"3,600,000","4,660.81",772,Feb-24,PASIR PANJANG ROAD,Resale,Strata,433,"8,314",-,Terrace House,1,Freehold,05,Rest of Central Region,-
CHUVILLE,"4,600,000","4,919.15",935,Jan-24,PASIR PANJANG ROAD,Resale,Strata,457,"10,066",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LEGEND @ JANSEN,"2,750,000","2,055.92","1,338",Jan-24,JANSEN ROAD,Resale,Strata,191,"14,398",-,Terrace House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
