Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BAYSHORE PARK,"860,000",936.47,918,Jul-19,BAYSHORE ROAD,Resale,Strata,87,"9,885",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,06 to 10
SHERWOOD CONDOMINIUM,"973,000",904.18,"1,076",Jul-19,JALAN JURONG KECHIL,Resale,Strata,84,"11,583",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
AQUARIUS BY THE PARK,"1,100,000","1,410.08",780,Jul-19,BEDOK RESERVOIR VIEW,Resale,Strata,131,"8,397",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
TREE HOUSE,"1,340,000","1,151.75","1,163",Jul-19,CHESTNUT AVENUE,Resale,Strata,107,"12,523",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,16 to 20
THE BAYSHORE,"960,000",979.52,980,Jul-19,BAYSHORE ROAD,Resale,Strata,91,"10,549",-,Condominium,1,99 yrs lease commencing from 1993,16,Outside Central Region,21 to 25
EIGHT COURTYARDS,"1,120,000","1,151.75",972,Jul-19,CANBERRA DRIVE,Resale,Strata,107,"10,467",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
KOVAN MELODY,"1,270,000","1,227.1","1,035",Jul-19,KOVAN ROAD,Resale,Strata,114,"11,140",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,01 to 05
OASIS GARDEN,"1,140,000",947.23,"1,204",Jul-19,JALAN BUNGA RAMPAI,Resale,Strata,88,"12,955",-,Condominium,1,Freehold,19,Rest of Central Region,16 to 20
THE LINEAR,"1,203,888","1,323.97",909,Jul-19,UPPER BUKIT TIMAH ROAD,Resale,Strata,123,"9,788",-,Apartment,1,999 yrs lease commencing from 1876,23,Outside Central Region,01 to 05
THE JADE,"1,370,000","1,345.5","1,018",Jul-19,BUKIT BATOK CENTRAL LINK,Resale,Strata,125,"10,960",-,Condominium,1,99 yrs lease commencing from 2001,23,Outside Central Region,06 to 10
THE ESTUARY,"850,000",925.7,918,Jul-19,YISHUN AVENUE 1,Resale,Strata,86,"9,884",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,06 to 10
SANCTUARY GREEN,"2,170,000","1,711.48","1,268",Jul-19,TANJONG RHU ROAD,Resale,Strata,159,"13,648",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,06 to 10
THE MINTON,"1,010,000",979.52,"1,031",Jul-19,HOUGANG STREET 11,Resale,Strata,91,"11,099",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
CASA ROSA,"950,000","1,108.69",857,Jul-19,LORONG ONG LYE,Resale,Strata,103,"9,223",-,Condominium,1,99 yrs lease commencing from 1998,19,Outside Central Region,01 to 05
EAST BAY GARDENS,"1,280,000","1,711.48",748,Jul-19,LORONG G TELOK KURAU,Resale,Strata,159,"8,050",-,Apartment,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
LIVIA,"1,200,000","1,323.97",906,Jul-19,PASIR RIS GROVE,Resale,Strata,123,"9,756",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
1 KING ALBERT PARK,"2,180,000","1,420.85","1,534",Jul-19,KING ALBERT PARK,Resale,Strata,132,"16,515",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
